polarity,text,text_2,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic,Body_Shaming
0,@tommcfly Good morning Tom! Why can't I send you a message? This is too short for the question I have  Well to bad for me I guess..,tommcfly Good morning Tom Why cant I send you a message This is too short for the question I have  Well to bad for me I guess,23,7,0.4839,"bodi, ugli, short, know, dark, like, love, good, time, get","['tommcfli', 'good', 'morn', 'send', 'messag', 'short', 'question', 'guess']",not body,No
0,"Finally wrapped.  My body has literally broken down this evening.  In bed, return of super fever ",Finally wrapped  My body has literally broken down this evening  In bed return of super fever ,26,6,0.542,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['final', 'wrap', 'bodi', 'liter', 'break', 'even', 'return', 'super', 'fever']",not body,No
0,"Making a short video, Windows movie maker has crashed for 20th time   but my middle name is perseverence :p , should finish the video soon",Making a short video Windows movie maker has crashed for th time   but my middle name is perseverence p  should finish the video soon,27,6,0.4983,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['make', 'short', 'video', 'window', 'movi', 'maker', 'crash', 'time', 'middl', 'persever', 'finish', 'video', 'soon']",not body,No
0,Sad that the time shift means it's dark when we go home. ,Sad that the time shift means its dark when we go home ,29,6,0.7159,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['time', 'shift', 'mean', 'dark', 'home']",not body,No
0,they are saying on the radio that they've found that some fast food has a high level of saturated fat- why did nobody tell me ,they are saying on the radio that theyve found that some fast food has a high level of saturated fat why did nobody tell me ,33,6,0.728,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['say', 'radio', 'theyv', 'fast', 'food', 'high', 'level', 'satur', 'tell']",not body,No
0,starting a short lunch break. must be short. my paper is not as far as it was planned to be at this time of day ,starting a short lunch break must be short my paper is not as far as it was planned to be at this time of day ,35,6,0.4353,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['start', 'short', 'lunch', 'break', 'short', 'paper', 'plan', 'time']",not body,No
0,Going to The Works later for another &quot;70%&quot; session.Bloody boring but it's probably all I'm up to(still) for now.And I have rubbish skin. ,Going to The Works later for another quotquot sessionBloody boring but its probably all Im up tostill for nowAnd I have rubbish skin ,36,0,0.7375,"dark, look, short, skin, bodi, go, miss, work, hair, say","['go', 'work', 'later', 'quotquot', 'sessionbloodi', 'bore', 'probabl', 'tostil', 'nowand', 'rubbish', 'skin']",not body,No
0,I'm trapped in my a fat and old body ! I have no choice ,Im trapped in my a fat and old body  I have no choice ,37,7,0.562,"bodi, ugli, short, know, dark, like, love, good, time, get","['trap', 'bodi', 'choic']",not body,No
0,Went to see my doc today. Told me that things are worse than expected. Need some meds from the drugstore - some heavy stuff. ,Went to see my doc today Told me that things are worse than expected Need some meds from the drugstore  some heavy stuff ,39,7,0.7734,"bodi, ugli, short, know, dark, like, love, good, time, get","['go', 'today', 'tell', 'thing', 'wors', 'expect', 'need', 'med', 'drugstor', 'heavi', 'stuff']",not body,No
0,Just off for a walk down the seafront. Typically the dark clouds seem to be closing in ,Just off for a walk down the seafront Typically the dark clouds seem to be closing in ,45,7,0.6976,"bodi, ugli, short, know, dark, like, love, good, time, get","['walk', 'seafront', 'typic', 'dark', 'cloud', 'close']",not body,No
0,my &lt;3 is so heavy! Another bout of tears. ,my lt is so heavy Another bout of tears ,47,6,0.669,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['heavi', 'bout', 'tear']",not body,No
0,@StyleNBeautyDoc i tried to leave a comment for rx brown skin  it wouldnt let me,StyleNBeautyDoc i tried to leave a comment for rx brown skin  it wouldnt let me,49,0,0.4332,"dark, look, short, skin, bodi, go, miss, work, hair, say","['stylenbeautydoc', 'tri', 'leav', 'comment', 'brown', 'skin', 'wouldnt']",not body,No
0,It's officially too damn early! My dark circles have dark circles! ,Its officially too damn early My dark circles have dark circles ,53,0,0.7044,"dark, look, short, skin, bodi, go, miss, work, hair, say","['offici', 'damn', 'earli', 'dark', 'circl', 'dark', 'circl']",not body,No
0,I'm sad to hear the news of an 8-yr-old girl who has been missing in our area - her body was found last night - Prayers are needed ,Im sad to hear the news of an yrold girl who has been missing in our area  her body was found last night  Prayers are needed ,54,7,0.7499,"bodi, ugli, short, know, dark, like, love, good, time, get","['hear', 'news', 'yrold', 'girl', 'miss', 'area', 'bodi', 'night', 'prayer', 'need']",not body,No
0,"@ASacco almost, but still about 2 months short. I got mine Nov.21 and even with the annual upgrade I would still have to wait. ",ASacco almost but still about  months short I got mine Nov and even with the annual upgrade I would still have to wait ,55,6,0.6594,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['asacco', 'month', 'short', 'annual', 'upgrad', 'wait']",not body,No
0,"@Dozc Not aching too bad this morning, just very tired  Cat not on any special diet, just going to feed the fat bastard less!!",Dozc Not aching too bad this morning just very tired  Cat not on any special diet just going to feed the fat bastard less,56,7,0.4764,"bodi, ugli, short, know, dark, like, love, good, time, get","['dozc', 'ach', 'morn', 'tire', 'special', 'diet', 'go', 'fee', 'bastard']",not body,No
0,"Cooking pot roast in the slow cooker, helping with school work, changing a diaper, cleaning and being fat and prego..lol! No rest for mom ",Cooking pot roast in the slow cooker helping with school work changing a diaper cleaning and being fat and pregolol No rest for mom ,58,7,0.4638,"bodi, ugli, short, know, dark, like, love, good, time, get","['cook', 'roast', 'slow', 'cooker', 'help', 'school', 'work', 'chang', 'diaper', 'clean', 'pregolol', 'rest']",not body,No
0,has not slept in FOR MONTHS. Why is my body ALWAYS making me get up by 8am?! WHYYYYYYYYY. ,has not slept in FOR MONTHS Why is my body ALWAYS making me get up by am WHYYYYYYYYY ,60,0,0.6947,"dark, look, short, skin, bodi, go, miss, work, hair, say","['sleep', 'month', 'bodi', 'make', 'whyyyyyyyyi']",not body,No
0,"Thinking about practicing my posing routine, but worried I'm all out of body oil.  ",Thinking about practicing my posing routine but worried Im all out of body oil  ,65,7,0.6558,"bodi, ugli, short, know, dark, like, love, good, time, get","['think', 'practic', 'pose', 'routin', 'worri', 'bodi']",not body,No
0,Alone  The silence and the dark make a bad combination. Eeek. Helpp.,Alone  The silence and the dark make a bad combination Eeek Helpp,69,0,0.5621,"dark, look, short, skin, bodi, go, miss, work, hair, say","['silenc', 'dark', 'combin', 'eeek', 'helpp']",not body,No
0,"goin to bed to start, what I'm assuming is going to be a short weekend ",goin to bed to start what Im assuming is going to be a short weekend ,72,6,0.6961,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['goin', 'start', 'assum', 'go', 'short', 'weekend']",not body,No
0,"Too tired to tweet, too tired to draw, to tired to look for work. Just plain worn out and short on hope. ",Too tired to tweet too tired to draw to tired to look for work Just plain worn out and short on hope ,74,0,0.3899,"dark, look, short, skin, bodi, go, miss, work, hair, say","['tire', 'tweet', 'tire', 'draw', 'tire', 'look', 'work', 'plain', 'wear', 'short', 'hope']",not body,No
0,Worked until 1230 last night. Didn't sleep until 230 and had to open the store this morning at 9. FML  my body hurts,Worked until  last night Didnt sleep until  and had to open the store this morning at  FML  my body hurts,75,7,0.7722,"bodi, ugli, short, know, dark, like, love, good, time, get","['work', 'night', 'didnt', 'sleep', 'open', 'store', 'morn', 'bodi', 'hurt']",not body,No
0,Blarg I hate waking up and my whole body  aches  too bad thats more or less every morning.,Blarg I hate waking up and my whole body  aches  too bad thats more or less every morning,77,7,0.74,"bodi, ugli, short, know, dark, like, love, good, time, get","['blarg', 'hate', 'wake', 'bodi', 'ach', 'that', 'morn']",not body,No
0,i miss my ugly wight!!! ,i miss my ugly wight ,81,0,0.6327,"dark, look, short, skin, bodi, go, miss, work, hair, say","['miss', 'ugli', 'wight']",not body,No
0,@triplethreat06 now that is ugly! I wanted to go to the international fest today.  booo!,triplethreat now that is ugly I wanted to go to the international fest today  booo,83,7,0.6779,"bodi, ugli, short, know, dark, like, love, good, time, get","['triplethreat', 'ugli', 'want', 'intern', 'fest', 'today', 'booo']",not body,No
0,@Jnavolio7 ah thanks...i've been workin out hard for like 4 months and you go and call me fat... ,Jnavolio ah thanksive been workin out hard for like  months and you go and call me fat ,91,6,0.6994,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['jnavolio', 'thanksiv', 'workin', 'hard', 'like', 'month']",not body,No
0,@diannabee it's not as painful as b4...but that ugly bruise is still there   and Idk how to do that @ thing on my phone b/c i'm dumb ,diannabee its not as painful as bbut that ugly bruise is still there   and Idk how to do that  thing on my phone bc im dumb ,92,7,0.4998,"bodi, ugli, short, know, dark, like, love, good, time, get","['diannabe', 'pain', 'bbut', 'ugli', 'bruis', 'thing', 'phone', 'dumb']",not body,No
0,Chris says I'm now really fat after looking at this photo of me taken today: http://twitpic.com/3jnlo   Sadly I haave to agree ,Chris says Im now really fat after looking at this photo of me taken today httptwitpiccomjnlo   Sadly I haave to agree ,96,0,0.7538,"dark, look, short, skin, bodi, go, miss, work, hair, say","['chri', 'say', 'look', 'photo', 'take', 'today', 'sadli', 'haav', 'agre']",not body,No
0,"That fat guy on Britains got talent nearly made me want to hurl, sad am not going to be seeing anymore of this  silly uni and no TV",That fat guy on Britains got talent nearly made me want to hurl sad am not going to be seeing anymore of this  silly uni and no TV,99,0,0.7013,"dark, look, short, skin, bodi, go, miss, work, hair, say","['britain', 'talent', 'nearli', 'want', 'hurl', 'go', 'see', 'anymor', 'silli']",not body,No
0,@socalvixen http://twitpic.com/3jodg - Ok why am I on the east coast missing all this skin ,socalvixen httptwitpiccomjodg  Ok why am I on the east coast missing all this skin ,104,0,0.6334,"dark, look, short, skin, bodi, go, miss, work, hair, say","['socalvixen', 'east', 'coast', 'miss', 'skin']",not body,No
0,@olafsearson i'm at a friends caravan now we're watching dark angel ,olafsearson im at a friends caravan now were watching dark angel ,106,6,0.3768,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['olafsearson', 'friend', 'caravan', 'watch', 'dark', 'angel']",not body,No
0,@matman617: who the Heck is the fat then?  cuz thats not nice ,matman who the Heck is the fat then  cuz thats not nice ,107,0,0.6371,"dark, look, short, skin, bodi, go, miss, work, hair, say","['matman', 'heck', 'that', 'nice']",not body,No
0,I hate the 360 degree view mirrors in changing rooms. Now having a bad hair and fat day ,I hate the  degree view mirrors in changing rooms Now having a bad hair and fat day ,111,6,0.7428,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['hate', 'degre', 'view', 'mirror', 'chang', 'room', 'have', 'hair']",not body,No
0,Aw-my Dodger boy Russell Martin just said holla on T.V.-- thats like saying fat with a &quot;ph&quot;--I am really unattracted  ,Awmy Dodger boy Russell Martin just said holla on TV thats like saying fat with a quotphquotI am really unattracted  ,115,0,0.6562,"dark, look, short, skin, bodi, go, miss, work, hair, say","['awmi', 'dodger', 'russel', 'martin', 'say', 'holla', 'that', 'like', 'say', 'quotphquoti', 'unattract']",not body,No
0,"Well, marin's room didn't come out quite like I expected. It looks like one ugly Easter egg. Starting over tomorrow. ",Well marins room didnt come out quite like I expected It looks like one ugly Easter egg Starting over tomorrow ,116,6,0.7759,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['marin', 'room', 'didnt', 'come', 'like', 'expect', 'look', 'like', 'ugli', 'easter', 'start', 'tomorrow']",not body,No
0,@artrox thanks for telling me - maybe I'm copying the links wrong when making short links    The rest of the vids come from the same site,artrox thanks for telling me  maybe Im copying the links wrong when making short links    The rest of the vids come from the same site,118,7,0.7707,"bodi, ugli, short, know, dark, like, love, good, time, get","['artrox', 'thank', 'tell', 'mayb', 'copi', 'link', 'wrong', 'make', 'short', 'link', 'rest', 'vid', 'come', 'site']",not body,No
0,KOQ...sad. Doug making fun of Karrie's short hair ,KOQsad Doug making fun of Karries short hair ,119,0,0.665,"dark, look, short, skin, bodi, go, miss, work, hair, say","['koqsad', 'doug', 'make', 'karri', 'short', 'hair']",not body,No
0,@kiimbee I just got out of the swimming pool too! And I got super dark ,kiimbee I just got out of the swimming pool too And I got super dark ,121,0,0.4933,"dark, look, short, skin, bodi, go, miss, work, hair, say","['kiimbe', 'swim', 'pool', 'super', 'dark']",not body,No
0,"@Mrs_Tipton man! AK - wow. serious short season up there, huh? who knows where I'll be mid may - prolly not LA. ",MrsTipton man AK  wow serious short season up there huh who knows where Ill be mid may  prolly not LA ,124,7,0.6565,"bodi, ugli, short, know, dark, like, love, good, time, get","['mrstipton', 'short', 'season', 'know', 'prolli']",not body,No
0,@mikasounds I was outside for maybe an hour and a half in 70 degree weather and I got crispy...Fair skin is a killer!! Sun burn sucks ,mikasounds I was outside for maybe an hour and a half in  degree weather and I got crispyFair skin is a killer Sun burn sucks ,125,6,0.7777,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['mikasound', 'outsid', 'mayb', 'hour', 'half', 'degre', 'weather', 'crispyfair', 'skin', 'killer', 'burn', 'suck']",not body,No
0,@kellyerin1 they are fat and old and nasty and flirt with me...GAHHHH ,kellyerin they are fat and old and nasty and flirt with meGAHHHH ,127,0,0.125,"dark, look, short, skin, bodi, go, miss, work, hair, say","['kellyerin', 'nasti', 'flirt', 'megahhhh']",not body,No
0,"@meli_loverrr Girrrl, I ain't got the body for that. Hahaha, shiiiit! They hiring anywhere else there? ",meliloverrr Girrrl I aint got the body for that Hahaha shiiiit They hiring anywhere else there ,128,6,0.3693,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['meliloverrr', 'girrrl', 'aint', 'bodi', 'hahaha', 'shiiiit', 'hire']",not body,No
0,"you know who gets under my skin? Camilla Belle, that's who... ",you know who gets under my skin Camilla Belle thats who ,131,7,0.7057,"bodi, ugli, short, know, dark, like, love, good, time, get","['know', 'get', 'skin', 'camilla', 'bell', 'that']",not body,No
0,Oh go figure. Every time we go out something comes up and we have to cut it short. ,Oh go figure Every time we go out something comes up and we have to cut it short ,132,6,0.6882,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['figur', 'time', 'come', 'short']",not body,No
0,My cat has a fat lip ,My cat has a fat lip ,135,0,0.125,"dark, look, short, skin, bodi, go, miss, work, hair, say",[],not body,No
0,bought a dress... but might not work cuz it's too long...  damn my asian short genes...,bought a dress but might not work cuz its too long  damn my asian short genes,137,0,0.4916,"dark, look, short, skin, bodi, go, miss, work, hair, say","['buy', 'dress', 'work', 'long', 'damn', 'asian', 'short', 'gene']",not body,No
0,Wishing The weekend wasnt so short ,Wishing The weekend wasnt so short ,140,6,0.6949,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['wish', 'weekend', 'wasnt', 'short']",not body,No
0,"Kso, i'm scared of the dark. And i just walked matt out to his truck and got scared and he laughed at me.. ",Kso im scared of the dark And i just walked matt out to his truck and got scared and he laughed at me ,141,6,0.6839,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['scar', 'dark', 'walk', 'matt', 'truck', 'scar', 'laugh']",not body,No
0,@SeanTheROBOT  awwww thats sucks ass    we will have to take  pleasure out of other ppls  stories and photos...Oh well *heavy sigh*,SeanTheROBOT  awwww thats sucks ass    we will have to take  pleasure out of other ppls  stories and photosOh well heavy sigh,142,6,0.7238,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['seantherobot', 'awwww', 'that', 'suck', 'pleasur', 'ppl', 'stori', 'photosoh', 'heavi', 'sigh']",not body,No
0,My drawer at work was 112 bucks short. They told me if they didn't figure it out tonight then I should expect the worse tomorrow ,My drawer at work was  bucks short They told me if they didnt figure it out tonight then I should expect the worse tomorrow ,143,6,0.7716,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['drawer', 'work', 'buck', 'short', 'tell', 'didnt', 'figur', 'tonight', 'expect', 'wors', 'tomorrow']",not body,No
0,dark forest is gonee ,dark forest is gonee ,149,0,0.5621,"dark, look, short, skin, bodi, go, miss, work, hair, say","['dark', 'forest', 'gone']",not body,No
0,@priscx I miss you too! T_T You lah. Balik Msia for such a short while only. They dont have After 8s here.  Mine's imported from the UK :p,priscx I miss you too TT You lah Balik Msia for such a short while only They dont have After s here  Mines imported from the UK p,153,0,0.6666,"dark, look, short, skin, bodi, go, miss, work, hair, say","['priscx', 'miss', 'balik', 'msia', 'short', 'dont', 'mine', 'import']",not body,No
0,I'm now wishing I hadn't done so much gardening yesterday...parts of my body feel broken ,Im now wishing I hadnt done so much gardening yesterdayparts of my body feel broken ,155,0,0.7129,"dark, look, short, skin, bodi, go, miss, work, hair, say","['wish', 'hadnt', 'garden', 'yesterdaypart', 'bodi', 'feel', 'break']",not body,No
0,"Still driving home, getting dark, alternator broke in my car, lights getting dim    Nilly there... shouldn't tweet while driving...",Still driving home getting dark alternator broke in my car lights getting dim    Nilly there shouldnt tweet while driving,157,0,0.7552,"dark, look, short, skin, bodi, go, miss, work, hair, say","['drive', 'home', 'get', 'dark', 'altern', 'break', 'light', 'get', 'nilli', 'shouldnt', 'tweet', 'drive']",not body,No
0,feels good to have my bandages off..but my scar is going to be very ugly ,feels good to have my bandages offbut my scar is going to be very ugly ,159,0,0.7213,"dark, look, short, skin, bodi, go, miss, work, hair, say","['feel', 'good', 'bandag', 'offbut', 'scar', 'go', 'ugli']",not body,No
0,"birds, can't you tell it's 3:18AM?  anyhow, it's dark.  i'd appreciate some quiet.  ",birds cant you tell its AM  anyhow its dark  id appreciate some quiet  ,161,6,0.5351,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['bird', 'tell', 'dark', 'appreci', 'quiet']",not body,No
0,"Having breakfast with the small girl. Toast. Butter and jam for her. Low fat, cholesterol-lowering hydrogenated crap for me ",Having breakfast with the small girl Toast Butter and jam for her Low fat cholesterollowering hydrogenated crap for me ,163,7,0.7274,"bodi, ugli, short, know, dark, like, love, good, time, get","['have', 'breakfast', 'small', 'girl', 'toast', 'butter', 'hydrogen', 'crap']",not body,No
0,"i just finished working though, it is getting dark outside *sigh* i wanted to go shopping  ?????????????????????????????????????????",i just finished working though it is getting dark outside sigh i wanted to go shopping  ,165,0,0.7638,"dark, look, short, skin, bodi, go, miss, work, hair, say","['finish', 'work', 'get', 'dark', 'outsid', 'sigh', 'want', 'shop']",not body,No
0,@jaredleto http://twitpic.com/3l2sb - it's very dark .... but where are you ? ,jaredleto httptwitpiccomlsb  its very dark  but where are you  ,166,0,0.5621,"dark, look, short, skin, bodi, go, miss, work, hair, say","['jaredleto', 'dark']",not body,No
0,Is keen for a big fat greasy double or possibly triple cheeseburger. Hmmmmm. Yum. Already had dinner. Maybe another nite. ,Is keen for a big fat greasy double or possibly triple cheeseburger Hmmmmm Yum Already had dinner Maybe another nite ,167,6,0.7283,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['keen', 'greasi', 'doubl', 'possibl', 'tripl', 'cheeseburg', 'hmmmmm', 'dinner', 'mayb', 'nite']",not body,No
0,Counting down the days until maternity leave is over and I return to the dark side ,Counting down the days until maternity leave is over and I return to the dark side ,169,0,0.4925,"dark, look, short, skin, bodi, go, miss, work, hair, say","['count', 'day', 'matern', 'leav', 'return', 'dark']",not body,No
0,The Purple Turtle was VERY dark last night. I got some good videos of the bands but they are a bit dingy  Will upload later.,The Purple Turtle was VERY dark last night I got some good videos of the bands but they are a bit dingy  Will upload later,170,0,0.5097,"dark, look, short, skin, bodi, go, miss, work, hair, say","['purpl', 'turtl', 'dark', 'night', 'good', 'video', 'band', 'dingi', 'upload', 'later']",not body,No
0,My nose is killing me.. want to go to bed.. but need to stay up as I am working late tomorrow and need my body to be aware of it ,My nose is killing me want to go to bed but need to stay up as I am working late tomorrow and need my body to be aware of it ,171,6,0.772,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['nose', 'kill', 'want', 'need', 'stay', 'work', 'late', 'tomorrow', 'need', 'bodi', 'awar']",not body,No
0,@ChessWhiz your top 4 chess openings link brings me to a &quot;makeup workshop&quot;? Maybe that's what's wrong with my chess game; too ugly ,ChessWhiz your top  chess openings link brings me to a quotmakeup workshopquot Maybe thats whats wrong with my chess game too ugly ,174,7,0.7768,"bodi, ugli, short, know, dark, like, love, good, time, get","['chesswhiz', 'chess', 'open', 'link', 'bring', 'quotmakeup', 'workshopquot', 'mayb', 'that', 'what', 'wrong', 'chess', 'game', 'ugli']",not body,No
0,I wish this sickness would leave my body ,I wish this sickness would leave my body ,176,0,0.698,"dark, look, short, skin, bodi, go, miss, work, hair, say","['wish', 'sick', 'leav', 'bodi']",not body,No
0,Scorching Indian Summer is just getting ready to burn every body by May ; My clients still want to travel to India ,Scorching Indian Summer is just getting ready to burn every body by May  My clients still want to travel to India ,180,0,0.7379,"dark, look, short, skin, bodi, go, miss, work, hair, say","['scorch', 'indian', 'summer', 'get', 'readi', 'burn', 'bodi', 'client', 'want', 'travel', 'india']",not body,No
0,Just bought some red bull to pump up my lack-of-sleep body ,Just bought some red bull to pump up my lackofsleep body ,181,7,0.6087,"bodi, ugli, short, know, dark, like, love, good, time, get","['buy', 'bull', 'pump', 'lackofsleep', 'bodi']",not body,No
0,is wondering why weekends always feel too short. almost time for another week at the office ,is wondering why weekends always feel too short almost time for another week at the office ,184,0,0.7481,"dark, look, short, skin, bodi, go, miss, work, hair, say","['wonder', 'weekend', 'feel', 'short', 'time', 'week', 'offic']",not body,No
0,I woke up from nap and the #chickintrain is not here. Looks like short distance. Now wonder she din have bags i could help her with. ,I woke up from nap and the chickintrain is not here Looks like short distance Now wonder she din have bags i could help her with ,188,0,0.7461,"dark, look, short, skin, bodi, go, miss, work, hair, say","['wake', 'chickintrain', 'look', 'like', 'short', 'distanc', 'wonder', 'bag', 'help']",not body,No
0,"is not having a good day, no mobile pho ne  and realizing i must be pretty ugly!!",is not having a good day no mobile pho ne  and realizing i must be pretty ugly,195,6,0.7221,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['have', 'good', 'mobil', 'realiz', 'pretti', 'ugli']",not body,No
0,Good morning! Today will b a very short day tomorrow school again ,Good morning Today will b a very short day tomorrow school again ,196,7,0.737,"bodi, ugli, short, know, dark, like, love, good, time, get","['good', 'morn', 'today', 'short', 'tomorrow', 'school']",not body,No
0,theres no way i can go to the invisible children rally. too short notice and all that shit. i am now upset ,theres no way i can go to the invisible children rally too short notice and all that shit i am now upset ,200,6,0.5427,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['there', 'invis', 'children', 'ralli', 'short', 'notic', 'shit', 'upset']",not body,No
0,"@ashleyblah but i am fat.  you look good with bangs, btw!",ashleyblah but i am fat  you look good with bangs btw,201,7,0.6665,"bodi, ugli, short, know, dark, like, love, good, time, get","['ashleyblah', 'look', 'good', 'bang']",not body,No
0,Just got back from a walk in the park with Hadley. Had to cut the trip short due to a poopy diaper. ,Just got back from a walk in the park with Hadley Had to cut the trip short due to a poopy diaper ,202,0,0.3851,"dark, look, short, skin, bodi, go, miss, work, hair, say","['walk', 'park', 'hadley', 'trip', 'short', 'poopi', 'diaper']",not body,No
0,im a little disappointed with amber and the other skinny lil white girl at dunkin this moening ,im a little disappointed with amber and the other skinny lil white girl at dunkin this moening ,204,7,0.7056,"bodi, ugli, short, know, dark, like, love, good, time, get","['littl', 'disappoint', 'amber', 'skinni', 'white', 'girl', 'dunkin', 'moen']",not body,No
0,Had a very ugly dream and is not feeling rested at all ,Had a very ugly dream and is not feeling rested at all ,206,7,0.6974,"bodi, ugli, short, know, dark, like, love, good, time, get","['ugli', 'dream', 'feel', 'rest']",not body,No
0,is literally baking in the sun! ahh i am sooo dark! ,is literally baking in the sun ahh i am sooo dark ,207,6,0.6628,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['liter', 'bake', 'sooo', 'dark']",not body,No
0,is really fed up of her awful skin now...i hate eczema  but looking very forward to Alton Towers tomorow!!! ,is really fed up of her awful skin nowi hate eczema  but looking very forward to Alton Towers tomorow ,209,0,0.7189,"dark, look, short, skin, bodi, go, miss, work, hair, say","['aw', 'skin', 'nowi', 'hate', 'eczema', 'look', 'forward', 'alton', 'tower', 'tomorow']",not body,No
0, school tomorrow. i mean yes we go there to learn and so forth but why do we have such short holidays?, school tomorrow i mean yes we go there to learn and so forth but why do we have such short holidays,210,6,0.7357,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['school', 'tomorrow', 'mean', 'learn', 'forth', 'short', 'holiday']",not body,No
0,"@AveryisBAMF vagina. it's a body part. most women and some men have one. what if i was suicidal, you bitch  you have no love.",AveryisBAMF vagina its a body part most women and some men have one what if i was suicidal you bitch  you have no love,211,7,0.6879,"bodi, ugli, short, know, dark, like, love, good, time, get","['averyisbamf', 'vagina', 'bodi', 'women', 'suicid', 'bitch', 'love']",not body,No
