polarity,text,text_2,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic,Body_Shaming
0,dang! i'm lazy  i've begun three short stories in the last three weeks... and never finished anything. will. have. more. focus.,dang im lazy  ive begun three short stories in the last three weeks and never finished anything will have more focus,24,2,0.7353,"short, like, love, bodi, watch, dark, tall, think, week, that","['dang', 'lazi', 'begin', 'short', 'stori', 'week', 'finish', 'focu']",body,Yes
0,Why do those project reports for school need so many words.. am 700 words short ,Why do those project reports for school need so many words am  words short ,25,2,0.6676,"short, like, love, bodi, watch, dark, tall, think, week, that","['project', 'report', 'school', 'need', 'word', 'word', 'short']",body,Yes
0,no body ever replys to me ,no body ever replys to me ,28,5,0.6024,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['bodi', 'repli']",body,Yes
0,is thinking how short are the Easter Holidays even before starting ,is thinking how short are the Easter Holidays even before starting ,30,2,0.6899,"short, like, love, bodi, watch, dark, tall, think, week, that","['think', 'short', 'easter', 'holiday', 'start']",body,Yes
0,"At Gatwick. Watch on BST, body 8 hours behind on PDT ",At Gatwick Watch on BST body  hours behind on PDT ,31,2,0.6657,"short, like, love, bodi, watch, dark, tall, think, week, that","['gatwick', 'watch', 'bodi', 'hour']",body,Yes
0,Bored  I think i may watch the dark knight.,Bored  I think i may watch the dark knight,32,1,0.7175,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['bore', 'think', 'watch', 'dark', 'knight']",body,Yes
0,"i have a headache , runny nose , cold body even though covered with 2 thick blankets , &amp; a cup of cordial. horrible combo ",i have a headache  runny nose  cold body even though covered with  thick blankets  amp a cup of cordial horrible combo ,34,1,0.7372,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['headach', 'runni', 'nose', 'cold', 'bodi', 'cover', 'blanket', 'cordial', 'horribl', 'combo']",body,Yes
0,Jury service was a bust. All done and never got to serve on a trial. Goddamn guilty pleas mean my 2 weeks off work has been cut short ,Jury service was a bust All done and never got to serve on a trial Goddamn guilty pleas mean my  weeks off work has been cut short ,38,2,0.6956,"short, like, love, bodi, watch, dark, tall, think, week, that","['juri', 'servic', 'bust', 'serv', 'trial', 'goddamn', 'guilti', 'plea', 'mean', 'week', 'work', 'short']",body,Yes
0,"Anyone who's like a superstar can use ustream.tv to broadcast #IgniteCardiff live. Apparently, my iMac is too heavy to carry there ",Anyone whos like a superstar can use ustreamtv to broadcast IgniteCardiff live Apparently my iMac is too heavy to carry there ,40,4,0.4766,"short, bodi, good, guy, hair, your, mind, thing, life, love","['who', 'like', 'superstar', 'ustreamtv', 'broadcast', 'ignitecardiff', 'live', 'appar', 'imac', 'heavi', 'carri']",body,Yes
0,i really want my next tattoo but haven't got the cash right now.....so many gd ideas in my head and i cant get afford needle on skin ,i really want my next tattoo but havent got the cash right nowso many gd ideas in my head and i cant get afford needle on skin ,41,3,0.7405,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['want', 'tattoo', 'havent', 'cash', 'right', 'nowso', 'idea', 'head', 'afford', 'needl', 'skin']",body,Yes
0,doesn't know why her body hates her. she is getting sick again and woke up before 7 am on a day when she doesn't even have classes ,doesnt know why her body hates her she is getting sick again and woke up before  am on a day when she doesnt even have classes ,42,4,0.7562,"short, bodi, good, guy, hair, your, mind, thing, life, love","['doesnt', 'know', 'bodi', 'hat', 'get', 'sick', 'wake', 'doesnt', 'class']",body,Yes
0,Daylight saving is over  it I'd now dark at 7! Not fair! I don't like it ,Daylight saving is over  it Id now dark at  Not fair I dont like it ,43,2,0.4253,"short, like, love, bodi, watch, dark, tall, think, week, that","['daylight', 'save', 'dark', 'fair', 'dont', 'like']",body,Yes
0,i'm at work. also just realized i am going to fall about $100 short of depleting my work-study funds. noooooo i refuse to work extra days ,im at work also just realized i am going to fall about  short of depleting my workstudy funds noooooo i refuse to work extra days ,44,2,0.7486,"short, like, love, bodi, watch, dark, tall, think, week, that","['work', 'realiz', 'go', 'fall', 'short', 'deplet', 'workstudi', 'fund', 'noooooo', 'refus', 'work', 'extra', 'day']",body,Yes
0,is so sick. my body hurtssssssssssssssssssssss. ,is so sick my body hurtssssssssssssssssssssss ,46,3,0.6152,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['sick', 'bodi']",body,Yes
0,"is wearing nothing but a sarong as a house dress. Have to, weather feels heavy and humid  http://plurk.com/p/n1w2g",is wearing nothing but a sarong as a house dress Have to weather feels heavy and humid  httpplurkcompnwg,48,1,0.7401,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['wear', 'sarong', 'hous', 'dress', 'weather', 'feel', 'heavi', 'humid']",body,Yes
0,Sick on top of my chronic issues...home work even though I just had 3 weeks off and have a short week this week! Just so ill... BLAH! ,Sick on top of my chronic issueshome work even though I just had  weeks off and have a short week this week Just so ill BLAH ,50,2,0.6614,"short, like, love, bodi, watch, dark, tall, think, week, that","['sick', 'chronic', 'issueshom', 'work', 'week', 'short', 'week', 'week', 'blah']",body,Yes
0,"@crashgrab I would, but all of my nice pants are either too big or too short  I'm going with a dress. Hopefully there's no wind.",crashgrab I would but all of my nice pants are either too big or too short  Im going with a dress Hopefully theres no wind,51,5,0.7606,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['crashgrab', 'nice', 'pant', 'short', 'go', 'dress', 'hope', 'there', 'wind']",body,Yes
0,lack of protein for close to a month is reeking havoc on my body. joints ache big time. esp my bum knee. no biking today ,lack of protein for close to a month is reeking havoc on my body joints ache big time esp my bum knee no biking today ,52,4,0.7607,"short, bodi, good, guy, hair, your, mind, thing, life, love","['lack', 'protein', 'close', 'month', 'reek', 'havoc', 'bodi', 'joint', 'ach', 'time', 'knee', 'bike', 'today']",body,Yes
0,@KHill215 I seriously had hopes of wearing something short sleeved for Easter Sunday Service... Probably need a shawl or sweater! ,KHill I seriously had hopes of wearing something short sleeved for Easter Sunday Service Probably need a shawl or sweater ,57,5,0.5025,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['khill', 'serious', 'hop', 'wear', 'short', 'sleev', 'easter', 'sunday', 'servic', 'probabl', 'need', 'shawl', 'sweater']",body,Yes
0,has a very light cold; is hoping it will go away soon but is worried it will instead become a very heavy cold. ,has a very light cold is hoping it will go away soon but is worried it will instead become a very heavy cold ,59,1,0.7627,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['light', 'cold', 'hop', 'away', 'soon', 'worri', 'instead', 'heavi', 'cold']",body,Yes
0,$Q stopped out a $3.86 for a 14 cent loss - Hmmm - both my long and my short stopped out today! ,Q stopped out a  for a  cent loss  Hmmm  both my long and my short stopped out today ,61,4,0.5644,"short, bodi, good, guy, hair, your, mind, thing, life, love","['stop', 'cent', 'loss', 'hmmm', 'long', 'short', 'stop', 'today']",body,Yes
0,"@julesdc IDK, Jules...it's pretty darned dark here NOW! And don't leave for heavens sakes... ",julesdc IDK Julesits pretty darned dark here NOW And dont leave for heavens sakes ,62,3,0.7002,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['julesdc', 'julesit', 'pretti', 'darn', 'dark', 'dont', 'leav', 'heaven', 'sake']",body,Yes
0,"@laylakayleigh oh Jeez, by looking in the mirror i guess, my reflection looks like a tall pale ET. ",laylakayleigh oh Jeez by looking in the mirror i guess my reflection looks like a tall pale ET ,63,2,0.5213,"short, like, love, bodi, watch, dark, tall, think, week, that","['laylakayleigh', 'jeez', 'look', 'mirror', 'guess', 'reflect', 'look', 'like', 'tall', 'pale']",body,Yes
0,@InezLeb euwww i am so ugly in the picture ,InezLeb euwww i am so ugly in the picture ,64,3,0.6248,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['inezleb', 'euwww', 'ugli', 'pictur']",body,Yes
0,fat days are the worst.  if men only knew what 5lbs can do to us.,fat days are the worst  if men only knew what lbs can do to us,66,5,0.6736,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['day', 'worst', 'know']",body,Yes
0,My body is giving in to the being sick urge. Must resist. Do not want ,My body is giving in to the being sick urge Must resist Do not want ,67,5,0.6951,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['bodi', 'give', 'sick', 'urg', 'resist', 'want']",body,Yes
0,I ate lunch outside for no more then 30 minutes today. And I'm pink. Stupid burnable skin. ,I ate lunch outside for no more then  minutes today And Im pink Stupid burnable skin ,68,1,0.7536,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['lunch', 'outsid', 'minut', 'today', 'pink', 'stupid', 'burnabl', 'skin']",body,Yes
0,@KimKardashian Kim!! That's so bad for your skin..  The sun is a lot stronger in Mexico... it can turn any skin red. Still beautiful tho,KimKardashian Kim Thats so bad for your skin  The sun is a lot stronger in Mexico it can turn any skin red Still beautiful tho,70,1,0.7262,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['kimkardashian', 'that', 'skin', 'stronger', 'mexico', 'turn', 'skin', 'beauti']",body,Yes
0,"my body is really hating me today. cut my knee, cut my elbow, cut my toe nail. all bleeding. plus tons of lifting and  moving... ",my body is really hating me today cut my knee cut my elbow cut my toe nail all bleeding plus tons of lifting and  moving ,71,4,0.5719,"short, bodi, good, guy, hair, your, mind, thing, life, love","['bodi', 'hat', 'today', 'knee', 'elbow', 'nail', 'bleed', 'plu', 'ton', 'lift', 'move']",body,Yes
0,@NessaBanks Thunder bolts &amp; lightening around here! 5 inches of heavy rain late in the afternoon made it a no go for a road ride.... ,NessaBanks Thunder bolts amp lightening around here  inches of heavy rain late in the afternoon made it a no go for a road ride ,73,1,0.6182,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['nessabank', 'thunder', 'bolt', 'lighten', 'inch', 'heavi', 'rain', 'late', 'afternoon', 'road', 'ride']",body,Yes
0,The sky is looking very dark here...The rain cant be too far away ,The sky is looking very dark hereThe rain cant be too far away ,76,1,0.6994,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['look', 'dark', 'hereth', 'rain', 'away']",body,Yes
0,Had to cut my round short ,Had to cut my round short ,78,3,0.6009,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['round', 'short']",body,Yes
0,@mynameisjayr It was amazing but fridays I always cut it short cus I gotta get my drunk ass to work so early  but tonite its on!!!,mynameisjayr It was amazing but fridays I always cut it short cus I gotta get my drunk ass to work so early  but tonite its on,79,5,0.7505,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['mynameisjayr', 'amaz', 'friday', 'short', 'gotta', 'drink', 'work', 'earli', 'tonit']",body,Yes
0,"*Remembers she has contaminated well water and has to find new housing.*  A big, dark, cloud just blocked that sunshine ",Remembers she has contaminated well water and has to find new housing  A big dark cloud just blocked that sunshine ,80,1,0.4549,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['rememb', 'contamin', 'water', 'hous', 'dark', 'cloud', 'block', 'sunshin']",body,Yes
0,Im sitting here in the middle east hating the fact that i have sand in every part of my body ,Im sitting here in the middle east hating the fact that i have sand in every part of my body ,82,3,0.3697,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['sit', 'middl', 'east', 'hat', 'fact', 'sand', 'bodi']",body,Yes
0,trying to cool down my itchy skin that is reacting to retinolic acid cosmetic stuff. ,trying to cool down my itchy skin that is reacting to retinolic acid cosmetic stuff ,84,1,0.7224,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['tri', 'cool', 'itchi', 'skin', 'react', 'retinol', 'acid', 'cosmet', 'stuff']",body,Yes
0,"@BreakenNews what the hell happened to the sun website?  it used to be a little dated, but now, it's busier than a mutha' and ugly as sin ",BreakenNews what the hell happened to the sun website  it used to be a little dated but now its busier than a mutha and ugly as sin ,85,1,0.7394,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['breakennew', 'hell', 'happen', 'websit', 'littl', 'date', 'busier', 'mutha', 'ugli']",body,Yes
0,my entire body hurts ,my entire body hurts ,86,3,0.6598,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['entir', 'bodi', 'hurt']",body,Yes
0,My version of touching my shoulders and my stylists are very different. Hair is way short ,My version of touching my shoulders and my stylists are very different Hair is way short ,87,2,0.3984,"short, like, love, bodi, watch, dark, tall, think, week, that","['version', 'touch', 'shoulder', 'stylist', 'differ', 'hair', 'short']",body,Yes
0,bloody stinging nettles - through heavy duty gloves too. ,bloody stinging nettles  through heavy duty gloves too ,88,1,0.562,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['bloodi', 'sting', 'nettl', 'heavi', 'duti', 'glove']",body,Yes
0,not eating out. Dialling for Macs with a heavy heart. ,not eating out Dialling for Macs with a heavy heart ,89,3,0.6733,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['eat', 'dial', 'mac', 'heavi', 'heart']",body,Yes
0,"Been playing Fear 2 on housemates xbox in the dark. Great game, but bit scary for little boys like me who are home alone. Night ",Been playing Fear  on housemates xbox in the dark Great game but bit scary for little boys like me who are home alone Night ,90,5,0.7821,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['play', 'fear', 'housem', 'xbox', 'dark', 'great', 'game', 'scari', 'littl', 'boy', 'like', 'home', 'night']",body,Yes
0,may have done some long term damage to her body. Knees shouldn't be this swollen and i have evil sores in unspeakable places. ,may have done some long term damage to her body Knees shouldnt be this swollen and i have evil sores in unspeakable places ,93,4,0.4406,"short, bodi, good, guy, hair, your, mind, thing, life, love","['long', 'term', 'damag', 'bodi', 'knee', 'shouldnt', 'swell', 'evil', 'sore', 'unspeak', 'place']",body,Yes
0,Shutting the gallery down for the day -- body is doing things it shouldn't be. Not sure I can even walk the 2 blocks home. ,Shutting the gallery down for the day  body is doing things it shouldnt be Not sure I can even walk the  blocks home ,94,4,0.4824,"short, bodi, good, guy, hair, your, mind, thing, life, love","['shut', 'galleri', 'bodi', 'thing', 'shouldnt', 'sure', 'walk', 'block', 'home']",body,Yes
0,"@javalicious @SassyKathy there were times in Twilight I thought Edward's eyebrows were a bit too dark, I was hoping they would fix it ",javalicious SassyKathy there were times in Twilight I thought Edwards eyebrows were a bit too dark I was hoping they would fix it ,95,5,0.6934,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['javalici', 'sassykathi', 'time', 'twilight', 'think', 'edward', 'eyebrow', 'dark', 'hop']",body,Yes
0,working on a blog idea. too many things to choose from and not enough mechanisms that reinforce our choices. we design for short run ,working on a blog idea too many things to choose from and not enough mechanisms that reinforce our choices we design for short run ,97,5,0.5079,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['work', 'blog', 'idea', 'thing', 'choos', 'mechan', 'reinforc', 'choic', 'design', 'short']",body,Yes
0,wants to got and ride her horse but its too dark ,wants to got and ride her horse but its too dark ,98,4,0.6647,"short, bodi, good, guy, hair, your, mind, thing, life, love","['want', 'ride', 'hors', 'dark']",body,Yes
0,@aconite You're not exactly a short bus ride away either  bah. This is useless.,aconite Youre not exactly a short bus ride away either  bah This is useless,100,4,0.6946,"short, bodi, good, guy, hair, your, mind, thing, life, love","['aconit', 'your', 'exactli', 'short', 'ride', 'away', 'useless']",body,Yes
0,finished off da heavy packing..cannot sleep though  oh well ill just hang out,finished off da heavy packingcannot sleep though  oh well ill just hang out,101,2,0.6991,"short, like, love, bodi, watch, dark, tall, think, week, that","['finish', 'heavi', 'packingcannot', 'sleep', 'hang']",body,Yes
0,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,   i miss you guys too     i think im wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,102,1,0.5638,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['miss', 'guy', 'think', 'wear', 'skinni', 'jean', 'cute', 'sweater', 'heel', 'sure', 'today']",body,Yes
0,"Feeling like a fat chick, barely fitting in her clothes. ",Feeling like a fat chick barely fitting in her clothes ,103,1,0.7174,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['feel', 'like', 'chick', 'bare', 'fit', 'cloth']",body,Yes
0,Sometimes my razor hates my skin ,Sometimes my razor hates my skin ,105,4,0.6251,"short, bodi, good, guy, hair, your, mind, thing, life, love","['razor', 'hat', 'skin']",body,Yes
0,"im at home wishing it was NoT so ugly out today. houston,tx is so over rated with this rain ",im at home wishing it was NoT so ugly out today houstontx is so over rated with this rain ,108,1,0.7265,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['home', 'wish', 'ugli', 'today', 'houstontx', 'rat', 'rain']",body,Yes
0,"http://twitpic.com/3juh0 - I went with the yellow, I'm feeling bloated and fat  I need to lose 10 pounds stat!",httptwitpiccomjuh  I went with the yellow Im feeling bloated and fat  I need to lose  pounds stat,109,3,0.7184,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['go', 'yellow', 'feel', 'bloat', 'need', 'lose', 'pound', 'stat']",body,Yes
0,FAIL FAIL FAIL today. ABC starts again on Monday. Can I call this week practise?  I'm so fat and I have no scales.,FAIL FAIL FAIL today ABC starts again on Monday Can I call this week practise  Im so fat and I have no scales,110,3,0.6835,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['fail', 'fail', 'fail', 'today', 'start', 'monday', 'week', 'practis', 'scale']",body,Yes
0,@prettyskyhigh I LOVE the rain....uh....but I did sleep until 140pm   Too dark in my bedroom!! Now I am latched to the computer until 6pm,prettyskyhigh I LOVE the rainuhbut I did sleep until pm   Too dark in my bedroom Now I am latched to the computer until pm,112,3,0.6741,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['prettyskyhigh', 'love', 'rainuhbut', 'sleep', 'dark', 'bedroom', 'latch']",body,Yes
0,I wish the rain would stop...its so ugly here in Houston right now ,I wish the rain would stopits so ugly here in Houston right now ,113,1,0.7047,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['wish', 'rain', 'stopit', 'ugli', 'houston', 'right']",body,Yes
0,@Gailporter i hope that its only for a short time? ,Gailporter i hope that its only for a short time ,114,5,0.6652,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['gailport', 'hope', 'short', 'time']",body,Yes
0,Sliced the skin clean off my finger at bowling... &amp; it has a load of fluff in it...painful ,Sliced the skin clean off my finger at bowling amp it has a load of fluff in itpainful ,117,1,0.544,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['slice', 'skin', 'clean', 'finger', 'bowl', 'load', 'fluff', 'itpain']",body,Yes
0,Yep snowed in! @kuraihime Snow is changing to rain and the snow is heavy and wet. Snowblower out of gas  #asot400,Yep snowed in kuraihime Snow is changing to rain and the snow is heavy and wet Snowblower out of gas  asot,120,1,0.672,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['snow', 'kuraihim', 'snow', 'chang', 'rain', 'snow', 'heavi', 'snowblow', 'asot']",body,Yes
0,Totally narked with my recent barber experience. Far too short for comfort  He *was* bald; maybe he hated my flowing locks? #sigh #grr,Totally narked with my recent barber experience Far too short for comfort  He was bald maybe he hated my flowing locks sigh grr,122,1,0.561,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['total', 'nark', 'recent', 'barber', 'experi', 'short', 'comfort', 'bald', 'mayb', 'hat', 'flow', 'lock', 'sigh']",body,Yes
0,i feel very fat  too many mugs of tea and cream cakes this evening LOL,i feel very fat  too many mugs of tea and cream cakes this evening LOL,123,5,0.427,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['feel', 'mug', 'cream', 'cake', 'even']",body,Yes
0,@paulitawilhelm omg I have an ugly smile ,paulitawilhelm omg I have an ugly smile ,126,2,0.619,"short, like, love, bodi, watch, dark, tall, think, week, that","['paulitawilhelm', 'ugli', 'smile']",body,Yes
0,"My AC adapter has a short, my computer won't hold a charge, and my battery is craptastic. I ordered a new one but it isn't here yet... ",My AC adapter has a short my computer wont hold a charge and my battery is craptastic I ordered a new one but it isnt here yet ,129,3,0.4634,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['adapt', 'short', 'wont', 'hold', 'charg', 'batteri', 'craptast', 'order', 'isnt']",body,Yes
0,@orangy68 GP ?? but honestly what are you doing ?? all that good work getting your body clock round to normal time ruined ,orangy GP  but honestly what are you doing  all that good work getting your body clock round to normal time ruined ,130,3,0.48,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['orangi', 'honestli', 'good', 'work', 'get', 'bodi', 'clock', 'round', 'normal', 'time', 'ruin']",body,Yes
0,just chillin at home... my body aches from rock climbing.. OUCH!!! ,just chillin at home my body aches from rock climbing OUCH ,133,2,0.7171,"short, like, love, bodi, watch, dark, tall, think, week, that","['chillin', 'home', 'bodi', 'ach', 'rock', 'climb', 'ouch']",body,Yes
0,I just saw the spanish short film Aftermath. That's some fucked up 30 minutes!!... now I've lost my appetite ,I just saw the spanish short film Aftermath Thats some fucked up  minutes now Ive lost my appetite ,134,5,0.737,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['spanish', 'short', 'film', 'aftermath', 'that', 'fuck', 'minut', 'lose', 'appetit']",body,Yes
0,at my gfs feeling pretty fat have to go home and get work clothes ,at my gfs feeling pretty fat have to go home and get work clothes ,136,1,0.7229,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['feel', 'pretti', 'home', 'work', 'cloth']",body,Yes
0,Upload speed is so much faster in the US... Going home on Wednesday is going to feel like going back to the dark ages ,Upload speed is so much faster in the US Going home on Wednesday is going to feel like going back to the dark ages ,138,2,0.7215,"short, like, love, bodi, watch, dark, tall, think, week, that","['upload', 'speed', 'faster', 'go', 'home', 'wednesday', 'go', 'feel', 'like', 'go', 'dark', 'age']",body,Yes
0,All I've had to eat today was a bag of Swedish Fish. While delicious I think my body is mad at me for not providing more ,All Ive had to eat today was a bag of Swedish Fish While delicious I think my body is mad at me for not providing more ,139,5,0.7096,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['today', 'swedish', 'fish', 'delici', 'think', 'bodi', 'provid']",body,Yes
0,m short hair!i hate it ,m short hairi hate it ,144,4,0.6149,"short, bodi, good, guy, hair, your, mind, thing, life, love","['short', 'hairi', 'hate']",body,Yes
0,just got word that there is a dead body at the alley cat. blood and all. very scary stuff. glad i wasnt there to see it. ,just got word that there is a dead body at the alley cat blood and all very scary stuff glad i wasnt there to see it ,145,5,0.7524,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['word', 'dead', 'bodi', 'alley', 'blood', 'scari', 'stuff', 'glad', 'wasnt']",body,Yes
0,Chuck Liddell is so out of shape it's not even funny.  the biggest belly fat I've seen in the Octagon.,Chuck Liddell is so out of shape its not even funny  the biggest belly fat Ive seen in the Octagon,146,3,0.392,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['chuck', 'liddel', 'shape', 'funni', 'biggest', 'belli', 'see', 'octagon']",body,Yes
0,I am GOING to the gym tomorrow!!! Time to get into it... my poor deteriorating body ,I am GOING to the gym tomorrow Time to get into it my poor deteriorating body ,147,3,0.4715,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['go', 'tomorrow', 'time', 'poor', 'deterior', 'bodi']",body,Yes
0,wants rock band 1 but he's $10 short.  http://plurk.com/p/oy3oy,wants rock band  but hes  short  httpplurkcompoyoy,148,2,0.6879,"short, like, love, bodi, watch, dark, tall, think, week, that","['want', 'rock', 'band', 'short']",body,Yes
0,Cut a bit of skin off my finger... Owwwiiieeee    I think its time to go to bed now.,Cut a bit of skin off my finger Owwwiiieeee    I think its time to go to bed now,150,1,0.6977,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['skin', 'finger', 'owwwiiieee', 'think', 'time']",body,Yes
